cliente_id,sku,fecha,unidades_inventario,kilos_inventario,sell_in_unidades,sell_in_kilos,sell_in_valor,sell_out_unidades,sell_out_kilos,sell_out_valor,cum_si_u,cum_so_u,cum_si_k,cum_so_k,inv_unidades_cierre,inv_kilos_cierre,inv_negativa_flag,inv_kilos_cierre_clip,avg_diario_30d_kilos,sell_out_kilos_30d,doh_30d,mes,cliente,canal,regional,zona,ciudad,formato_cliente,descripcion_producto,peso_kg,unidad,variedad,subcategoria,categoria,tipo_producto,marca,origen,anio_mes
C001,900101,2025-01-31,80,6.4,0.0,0.0,0.0,9.0,0.72,88930.0,200.0,198.0,16.0,15.120000000000001,82.0,7.279999999999998,False,7.279999999999998,0.4826666666666667,14.48,15.08287292817679,2025-01-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,SALAMI TAJADO CASA IBERIA 80G,0.08,UND,SALAMI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C001,900102,2025-01-31,121,9.68,0.0,0.0,0.0,5.0,0.4,49140.0,122.0,194.0,9.76,15.52,49.0,3.919999999999998,False,3.919999999999998,0.512,15.36,7.6562499999999964,2025-01-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C003,110114,2025-01-31,60,15.0,0.0,0.0,0.0,4.0,1.0,95780.0,126.0,124.0,31.5,30.44,62.0,16.06,False,16.06,1.0063333333333333,30.19,15.958926796952632,2025-01-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,GOUDA NATURAL CUÑA LOMA DORADA 250G,0.25,UND,GOUDA NATURAL,CUÑAS,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-01
C014,900103,2025-01-31,71,5.68,0.0,0.0,0.0,5.0,0.4,53240.0,111.0,125.0,8.879999999999999,10.0,57.0,4.559999999999999,False,4.559999999999999,0.32266666666666666,9.68,14.132231404958674,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,JAMON SERRANO TAJADO CASA IBERIA 80G,0.08,UND,JAMON SERRANO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C013,900101,2025-01-31,19,1.52,0.0,0.0,0.0,1.0,0.08,10940.0,23.0,27.0,1.8399999999999999,2.16,15.0,1.1999999999999997,False,1.1999999999999997,0.07200000000000001,2.16,16.66666666666666,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,SALAMI TAJADO CASA IBERIA 80G,0.08,UND,SALAMI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C002,130103,2025-01-31,124,35.712,0.0,0.0,0.0,13.0,0.0,106620.0,162.0,237.0,46.656,64.512,49.0,17.855999999999995,False,17.855999999999995,2.1024000000000003,63.072,8.493150684931503,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C003,130103,2025-01-31,87,25.056,0.0,0.0,0.0,10.0,2.88,82270.0,199.0,204.0,57.312,57.888,82.0,24.479999999999997,False,24.479999999999997,1.8527999999999998,55.583999999999996,13.212435233160623,2025-01-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C014,900104,2025-01-31,74,5.92,0.0,0.0,0.0,2.0,0.16,18770.0,96.0,131.0,7.68,10.16,39.0,3.4399999999999995,False,3.4399999999999995,0.3253333333333333,9.76,10.573770491803279,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,CHORIZO TAJADO CASA IBERIA 80G,0.08,UND,CHORIZO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C016,190102,2025-01-31,20,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,19.0,9.5,False,9.5,0.016666666666666666,0.5,570.0,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-01
C001,300102,2025-01-31,84,19.32,0.0,0.0,0.0,10.0,2.3,97570.0,229.0,212.0,52.67,48.76,101.0,23.23000000000001,False,23.23000000000001,1.6176666666666668,48.53,14.36018957345972,2025-01-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,2025-01
C016,190103,2025-01-31,18,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.8,False,10.8,0.0,0.0,,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,RACLETTE CELEBRACION LOMA DORADA 600G,0.6,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,LOMA DORADA,IMPORTADO,2025-01
C016,130103,2025-01-31,88,25.344,0.0,0.0,0.0,5.0,1.44,41780.0,133.0,150.0,38.304,43.131,71.0,20.517000000000003,False,20.517000000000003,1.3800999999999999,41.403,14.866314035214844,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C013,190102,2025-01-31,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,3.0,1.5,False,1.5,0.016666666666666666,0.5,90.0,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-01
C015,110113,2025-01-31,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,8.75,9.25,10.0,-0.5,True,0.0,0.2833333333333333,8.5,0.0,2025-01-01,Abarrotes Norte,Tradicional Modernizado,Caribe,Costa Norte,Barranquilla,Supermercado Regional,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-01
C014,300102,2025-01-31,61,14.03,0.0,0.0,0.0,7.0,1.61,67530.0,153.0,159.0,35.19,36.57,55.0,12.649999999999999,False,12.649999999999999,1.1806666666666668,35.42,10.714285714285712,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,2025-01
C013,110110,2025-01-31,10,3.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.8,2.88,7.0,2.5200000000000005,False,2.5200000000000005,0.096,2.88,26.250000000000004,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,MIX QUESOS PREMIUM MONTE AZUL 360G,0.36,UND,MIXTO QUESOS,MEZCLAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-01
C014,900102,2025-01-31,76,6.08,0.0,0.0,0.0,4.0,0.32,39350.0,99.0,131.0,7.92,10.48,44.0,3.5199999999999996,False,3.5199999999999996,0.33866666666666667,10.16,10.393700787401574,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C013,110115,2025-01-31,11,2.75,0.0,0.0,0.0,3.0,0.75,83860.0,22.0,29.0,5.5,7.0,4.0,1.25,False,1.25,0.23333333333333334,7.0,5.357142857142857,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,FETA CUBOS CASA SIERRA 250G,0.25,UND,FETA,ESPECIALES,QUESOS MADURADOS,regular,CASA SIERRA,IMPORTADO,2025-01
C016,130101,2025-01-31,125,18.75,0.0,0.0,0.0,8.0,1.2,45650.0,168.0,201.0,25.200000000000003,30.150000000000002,92.0,13.8,False,13.8,0.9900000000000001,29.700000000000003,13.93939393939394,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C014,120101,2025-01-31,115,28.75,0.0,0.0,0.0,10.0,2.5,99680.0,253.0,256.0,63.25,61.0,112.0,31.0,False,31.0,1.95,58.5,15.897435897435898,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,MOZZARELLA TAJADA CAMPOCLARO 250G,0.25,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-01
C013,900103,2025-01-31,18,1.44,0.0,0.0,0.0,1.0,0.08,11940.0,33.0,39.0,2.64,3.12,12.0,0.96,False,0.96,0.10400000000000001,3.12,9.23076923076923,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,JAMON SERRANO TAJADO CASA IBERIA 80G,0.08,UND,JAMON SERRANO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C014,110113,2025-01-31,68,17.0,0.0,0.0,0.0,4.0,1.0,62260.0,107.0,122.0,26.75,29.25,53.0,14.5,False,14.5,0.925,27.75,15.675675675675675,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-01
C002,110110,2025-01-31,31,11.16,0.0,0.0,0.0,2.0,0.72,67230.0,41.0,52.0,14.76,18.36,20.0,7.560000000000002,False,7.560000000000002,0.612,18.36,12.352941176470592,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,MIX QUESOS PREMIUM MONTE AZUL 360G,0.36,UND,MIXTO QUESOS,MEZCLAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-01
C013,110107,2025-01-31,12,1.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,2.625,2.75,11.0,1.375,False,1.375,0.09166666666666666,2.75,15.000000000000002,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,CAMEMBERT CUÑA MONTE AZUL 125G,0.125,UND,CAMEMBERT,QUESOS BLANDOS,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-01
C014,110112,2025-01-31,98,9.8,0.0,0.0,0.0,10.0,1.0,69500.0,226.0,233.0,22.6,23.388,91.0,9.012000000000004,False,9.012000000000004,0.7496000000000002,22.488000000000003,12.022411953041624,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,PARMESANO RALLADO ORO LECHE 100G,0.1,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-01
C016,110103,2025-01-31,45,6.75,0.0,0.0,0.0,6.0,0.9,88270.0,102.0,97.0,15.3,14.04,50.0,8.010000000000002,False,8.010000000000002,0.448,13.44,17.87946428571429,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,MUENSTER TAJADO LOMA DORADA 150G,0.15,UND,MUENSTER,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-01
C003,120103,2025-01-31,88,17.6,0.0,0.0,0.0,2.0,0.4,19830.0,142.0,152.0,28.4,30.4,78.0,15.600000000000001,False,15.600000000000001,0.98,29.4,15.918367346938778,2025-01-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,QUESO CREMA CAMPOCLARO 200G,0.2,UND,CREMAS,UNTABLES,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-01
C014,130101,2025-01-31,100,15.0,0.0,0.0,0.0,4.0,0.6,22260.0,165.0,208.0,24.75,31.2,57.0,8.55,False,8.55,0.9949999999999999,29.849999999999998,8.592964824120605,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C015,300101,2025-01-31,15,3.45,0.0,0.0,0.0,2.0,0.46,17300.0,35.0,37.0,8.049999999999999,8.51,13.0,2.99,False,2.99,0.26833333333333337,8.05,11.142857142857142,2025-01-01,Abarrotes Norte,Tradicional Modernizado,Caribe,Costa Norte,Barranquilla,Supermercado Regional,JAMON DE CERDO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON CERDO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,2025-01
C002,900104,2025-01-31,92,7.36,0.0,0.0,0.0,7.0,0.56,66560.0,96.0,146.0,7.68,11.693,42.0,3.3469999999999995,False,3.3469999999999995,0.3711,11.133,9.019132309350578,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,CHORIZO TAJADO CASA IBERIA 80G,0.08,UND,CHORIZO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C016,110110,2025-01-31,24,8.64,0.0,0.0,0.0,1.0,0.36,34650.0,55.0,54.0,19.8,19.44,25.0,9.0,False,9.0,0.636,19.080000000000002,14.150943396226415,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,MIX QUESOS PREMIUM MONTE AZUL 360G,0.36,UND,MIXTO QUESOS,MEZCLAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-01
C014,110110,2025-01-31,33,11.88,0.0,0.0,0.0,2.0,0.72,67760.0,48.0,56.0,17.28,20.16,25.0,9.000000000000004,False,9.000000000000004,0.648,19.44,13.888888888888895,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,MIX QUESOS PREMIUM MONTE AZUL 360G,0.36,UND,MIXTO QUESOS,MEZCLAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-01
C014,130103,2025-01-31,91,26.208,0.0,0.0,0.0,11.0,3.168,89650.0,226.0,222.0,65.088,62.496,95.0,28.79999999999999,False,28.79999999999999,2.0352,61.056000000000004,14.15094339622641,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C002,110103,2025-01-31,59,8.85,0.0,0.0,0.0,6.0,0.9,89510.0,136.0,128.0,20.4,19.2,67.0,10.05,False,10.05,0.6199999999999999,18.599999999999998,16.209677419354843,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,MUENSTER TAJADO LOMA DORADA 150G,0.15,UND,MUENSTER,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-01
C013,110108,2025-01-31,15,2.25,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,4.2,4.062,16.0,2.388,False,2.388,0.13540000000000002,4.062,17.63663220088626,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,MANCHEGO CUÑA MONTE AZUL 150G,0.15,UND,MANCHEGO,CUÑAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-01
C002,110115,2025-01-31,68,17.0,0.0,0.0,0.0,5.0,1.25,126840.0,126.0,130.0,31.5,32.5,64.0,16.0,False,16.0,1.025,30.75,15.609756097560977,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,FETA CUBOS CASA SIERRA 250G,0.25,UND,FETA,ESPECIALES,QUESOS MADURADOS,regular,CASA SIERRA,IMPORTADO,2025-01
C002,900103,2025-01-31,58,4.64,0.0,0.0,0.0,4.0,0.32,44470.0,146.0,137.0,11.68,10.96,67.0,5.359999999999999,False,5.359999999999999,0.35200000000000004,10.56,15.227272727272725,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,JAMON SERRANO TAJADO CASA IBERIA 80G,0.08,UND,JAMON SERRANO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C002,300102,2025-01-31,97,22.31,0.0,0.0,0.0,7.0,1.61,66900.0,136.0,162.0,31.28,37.26,71.0,16.330000000000005,False,16.330000000000005,1.242,37.26,13.148148148148152,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,2025-01
C002,110114,2025-01-31,66,16.5,0.0,0.0,0.0,4.0,1.0,95850.0,94.0,100.0,23.5,25.04,60.0,14.96,False,14.96,0.818,24.54,18.288508557457217,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,GOUDA NATURAL CUÑA LOMA DORADA 250G,0.25,UND,GOUDA NATURAL,CUÑAS,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-01
C016,110102,2025-01-31,56,8.4,0.0,0.0,0.0,3.0,0.45,44290.0,68.0,90.0,10.2,12.75,34.0,5.850000000000001,False,5.850000000000001,0.4,12.0,14.625000000000004,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,HOLANDES TAJADO LOMA DORADA 150G,0.15,UND,HOLANDES,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-01
C002,110113,2025-01-31,61,15.25,0.0,0.0,0.0,2.0,0.5,31000.0,141.0,134.0,35.25,33.5,68.0,17.0,False,17.0,1.075,32.25,15.813953488372094,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-01
C001,190103,2025-01-31,29,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,27.0,16.2,False,16.2,0.04,1.2,405.0,2025-01-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,RACLETTE CELEBRACION LOMA DORADA 600G,0.6,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,LOMA DORADA,IMPORTADO,2025-01
C003,130101,2025-01-31,98,14.7,0.0,0.0,0.0,9.0,1.35,52390.0,264.0,241.0,39.6,35.4,121.0,18.9,False,18.9,1.13,33.9,16.72566371681416,2025-01-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C014,120103,2025-01-31,87,17.4,0.0,0.0,0.0,2.0,0.4,20600.0,193.0,182.0,38.599999999999994,36.304,98.0,19.69599999999999,False,19.69599999999999,1.1701333333333332,35.104,16.832269826800356,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,QUESO CREMA CAMPOCLARO 200G,0.2,UND,CREMAS,UNTABLES,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-01
