cliente_id,sku,fecha,unidades_inventario,kilos_inventario,sell_in_unidades,sell_in_kilos,sell_in_valor,sell_out_unidades,sell_out_kilos,sell_out_valor,cum_si_u,cum_so_u,cum_si_k,cum_so_k,inv_unidades_cierre,inv_kilos_cierre,inv_negativa_flag,inv_kilos_cierre_clip,avg_diario_30d_kilos,sell_out_kilos_30d,doh_30d,mes,cliente,canal,regional,zona,ciudad,formato_cliente,descripcion_producto,peso_kg,unidad,variedad,subcategoria,categoria,tipo_producto,marca,origen,anio_mes,riesgo
C016,110102,2025-12-31,56,8.4,0.0,0.0,0.0,3.0,0.45,43590.0,1207.0,1223.0,174.6,181.062,40.0,1.9379999999999882,False,1.9379999999999882,0.6650000000000001,19.950000000000003,2.914285714285696,2025-12-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,HOLANDES TAJADO LOMA DORADA 150G,0.15,UND,HOLANDES,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C004,130103,2025-12-31,336,96.768,0.0,0.0,0.0,31.0,8.928,229930.0,8519.0,8640.0,2381.472,2457.331,215.0,20.909000000000106,False,20.909000000000106,7.161600000000001,214.848,2.9195989722967077,2025-12-01,Descuento Ya,Hard Discount,Centro,Bogotá y Sabana,Bogotá,Discounter,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-12,Desabastecimiento
C016,900103,2025-12-31,66,5.28,0.0,0.0,0.0,4.0,0.32,43980.0,1363.0,1384.0,105.6,109.92,45.0,0.9599999999999937,False,0.9599999999999937,0.3226666666666667,9.680000000000001,2.9752066115702283,2025-12-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,JAMON SERRANO TAJADO CASA IBERIA 80G,0.08,UND,JAMON SERRANO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-12,Desabastecimiento
C005,130101,2025-12-31,356,53.4,0.0,0.0,0.0,43.0,6.45,221700.0,11142.0,11110.0,1621.8,1659.45,388.0,15.75,False,15.75,5.234999999999999,157.04999999999998,3.008595988538682,2025-12-01,PrecioListo,Hard Discount,Antioquia,Valle de Aburrá,Medellín,Discounter,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-12,Desabastecimiento
C015,900102,2025-12-31,12,0.96,9.0,0.72,67230.0,0.0,0.0,0.0,348.0,344.0,26.72,27.36,16.0,0.3200000000000003,False,0.3200000000000003,0.09333333333333334,2.8000000000000003,3.4285714285714315,2025-12-01,Abarrotes Norte,Tradicional Modernizado,Caribe,Costa Norte,Barranquilla,Supermercado Regional,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-12,Desabastecimiento
C001,120103,2025-12-31,113,22.6,0.0,0.0,0.0,12.0,2.4,119150.0,2880.0,2912.0,556.8,572.912,81.0,6.487999999999943,False,6.487999999999943,1.8333333333333333,55.0,3.5389090909090597,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,QUESO CREMA CAMPOCLARO 200G,0.2,UND,CREMAS,UNTABLES,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-12,Desabastecimiento
C003,110103,2025-12-31,72,10.8,0.0,0.0,0.0,6.0,0.9,87930.0,1703.0,1702.0,243.75,250.998,73.0,3.552000000000021,False,3.552000000000021,0.935,28.05,3.7989304812834446,2025-12-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,MUENSTER TAJADO LOMA DORADA 150G,0.15,UND,MUENSTER,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C003,190101,2025-12-31,14,5.6,0.0,0.0,0.0,2.0,0.8,50700.0,92.0,96.0,35.2,38.0,10.0,2.8000000000000043,False,2.8000000000000043,0.7333333333333333,22.0,3.818181818181824,2025-12-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C017,900103,2025-12-31,3,0.24,0.0,0.0,0.0,1.0,0.08,11540.0,175.0,174.0,13.6,13.68,4.0,0.16000000000000014,False,0.16000000000000014,0.04,1.2,4.0000000000000036,2025-12-01,RapiExpress,E-commerce,Centro,Bogotá y Sabana,Bogotá,Quick Commerce,JAMON SERRANO TAJADO CASA IBERIA 80G,0.08,UND,JAMON SERRANO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-12,Desabastecimiento
C002,110110,2025-12-31,31,11.16,0.0,0.0,0.0,1.0,0.36,34470.0,730.0,737.0,254.52,262.051,24.0,3.629000000000019,False,3.629000000000019,0.9,27.0,4.032222222222243,2025-12-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,MIX QUESOS PREMIUM MONTE AZUL 360G,0.36,UND,MIXTO QUESOS,MEZCLAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C014,110101,2025-12-31,70,10.5,0.0,0.0,0.0,3.0,0.45,43720.0,1707.0,1724.0,248.7,255.6,53.0,3.5999999999999943,False,3.5999999999999943,0.89,26.7,4.044943820224713,2025-12-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C001,190101,2025-12-31,25,10.0,0.0,0.0,0.0,5.0,2.0,126230.0,135.0,145.0,50.4,56.0,15.0,4.399999999999999,False,4.399999999999999,1.0533333333333335,31.6,4.177215189873416,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C002,130101,2025-12-31,104,15.6,0.0,0.0,0.0,6.0,0.9,33610.0,3014.0,3016.0,437.7,446.964,102.0,6.336000000000013,False,6.336000000000013,1.425,42.75,4.446315789473693,2025-12-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-12,Desabastecimiento
C012,190101,2025-12-31,7,2.8,0.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,12.8,14.4,3.0,1.200000000000001,False,1.200000000000001,0.2666666666666667,8.000000000000002,4.5000000000000036,2025-12-01,Delimarket Gourmet,Tiendas Especializadas,Centro,Bogotá y Sabana,Bogotá,Especialidad,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C016,120101,2025-12-31,92,0.0,0.0,0.0,0.0,7.0,1.75,69440.0,2066.0,2085.0,516.5,509.75,73.0,6.75,False,6.75,1.4916666666666667,44.75,4.5251396648044695,2025-12-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,MOZZARELLA TAJADA CAMPOCLARO 250G,0.25,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-12,Desabastecimiento
C016,190102,2025-12-31,20,10.0,0.0,0.0,0.0,2.0,1.0,60220.0,122.0,131.0,61.0,65.0,11.0,6.0,False,6.0,1.3,39.0,4.615384615384615,2025-12-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-12,Desabastecimiento
C001,110114,2025-12-31,96,24.0,0.0,0.0,0.0,8.0,2.0,193280.0,1988.0,2020.0,482.25,497.87,64.0,8.379999999999995,False,8.379999999999995,1.7833333333333334,53.5,4.6990654205607445,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,GOUDA NATURAL CUÑA LOMA DORADA 250G,0.25,UND,GOUDA NATURAL,CUÑAS,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C016,110114,2025-12-31,55,13.75,0.0,0.0,0.0,2.0,0.5,48330.0,1414.0,1418.0,344.5,352.25,51.0,6.0,False,6.0,1.2333333333333334,37.0,4.864864864864865,2025-12-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,GOUDA NATURAL CUÑA LOMA DORADA 250G,0.25,UND,GOUDA NATURAL,CUÑAS,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C001,190102,2025-12-31,26,13.0,0.0,0.0,0.0,6.0,3.0,179500.0,226.0,237.0,113.0,114.5,15.0,11.5,False,11.5,2.3,69.0,5.0,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-12,Desabastecimiento
C013,110109,2025-12-31,13,1.95,0.0,0.0,0.0,1.0,0.15,17510.0,371.0,371.0,54.0,55.038,13.0,0.9120000000000061,False,0.9120000000000061,0.18000000000000002,5.4,5.0666666666667,2025-12-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,IBERICO CUÑA MONTE AZUL 150G,0.15,UND,IBERICO,CUÑAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C013,190102,2025-12-31,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,14.0,14.5,3.0,1.5,False,1.5,0.2833333333333333,8.5,5.294117647058823,2025-12-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-12,Desabastecimiento
C003,120104,2025-12-31,86,17.2,0.0,0.0,0.0,5.0,1.0,39920.0,1763.0,1791.0,343.0,353.944,58.0,6.255999999999972,False,6.255999999999972,1.1466666666666667,34.4,5.455813953488347,2025-12-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,MOZZARELLA LIGHT CAMPOCLARO 200G,0.2,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-12,Desabastecimiento
C003,190103,2025-12-31,19,11.4,0.0,0.0,0.0,2.0,1.2,84680.0,82.0,93.0,49.2,54.6,8.0,6.0,False,6.0,1.0799999999999998,32.4,5.555555555555556,2025-12-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,RACLETTE CELEBRACION LOMA DORADA 600G,0.6,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C015,130101,2025-12-31,29,4.35,0.0,0.0,0.0,1.0,0.15,5430.0,746.0,750.0,108.45,110.976,25.0,1.823999999999998,False,1.823999999999998,0.325,9.75,5.612307692307686,2025-12-01,Abarrotes Norte,Tradicional Modernizado,Caribe,Costa Norte,Barranquilla,Supermercado Regional,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-12,Desabastecimiento
C012,110109,2025-12-31,14,2.1,0.0,0.0,0.0,2.0,0.3,34310.0,404.0,403.0,58.004999999999995,58.8,15.0,1.3049999999999997,False,1.3049999999999997,0.225,6.75,5.799999999999999,2025-12-01,Delimarket Gourmet,Tiendas Especializadas,Centro,Bogotá y Sabana,Bogotá,Especialidad,IBERICO CUÑA MONTE AZUL 150G,0.15,UND,IBERICO,CUÑAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C018,110112,2025-12-31,136,13.6,0.0,0.0,0.0,10.0,1.0,62700.0,4213.0,4234.0,412.8,418.884,115.0,7.5160000000000196,False,7.5160000000000196,1.2633333333333332,37.9,5.949340369393156,2025-12-01,Cadena Uno,Hard Discount,Occidente,Valle del Cauca,Cali,Discounter,PARMESANO RALLADO ORO LECHE 100G,0.1,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-12,Desabastecimiento
C002,190101,2025-12-31,18,7.2,0.0,0.0,0.0,0.0,0.0,0.0,115.0,118.0,46.0,47.2,15.0,6.0,False,6.0,1.0,30.0,6.0,2025-12-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C017,900102,2025-12-31,6,0.48,4.0,0.32,29940.0,1.0,0.08,10670.0,214.0,213.0,16.88,16.959,7.0,0.4009999999999998,False,0.4009999999999998,0.06666666666666667,2.0,6.014999999999997,2025-12-01,RapiExpress,E-commerce,Centro,Bogotá y Sabana,Bogotá,Quick Commerce,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-12,Desabastecimiento
C014,190103,2025-12-31,16,9.6,0.0,0.0,0.0,1.0,0.6,42020.0,98.0,101.0,58.8,60.6,13.0,7.79999999999999,False,7.79999999999999,1.22,36.6,6.393442622950811,2025-12-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,RACLETTE CELEBRACION LOMA DORADA 600G,0.6,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C001,190103,2025-12-31,29,17.4,0.0,0.0,0.0,3.0,1.8,125770.0,154.0,167.0,92.4,97.2,16.0,12.600000000000009,False,12.600000000000009,1.9600000000000002,58.800000000000004,6.428571428571432,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,RACLETTE CELEBRACION LOMA DORADA 600G,0.6,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C014,900104,2025-12-31,74,5.92,0.0,0.0,0.0,8.0,0.64,74760.0,1836.0,1821.0,140.856,143.357,89.0,3.4189999999999827,False,3.4189999999999827,0.52,15.600000000000001,6.574999999999966,2025-12-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,CHORIZO TAJADO CASA IBERIA 80G,0.08,UND,CHORIZO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-12,Desabastecimiento
C001,110101,2025-12-31,97,14.55,0.0,0.0,0.0,13.0,1.95,192530.0,2252.0,2264.0,328.35,334.854,85.0,8.04600000000005,False,8.04600000000005,1.2199999999999998,36.599999999999994,6.595081967213156,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C001,110113,2025-12-31,116,29.0,0.0,0.0,0.0,11.0,2.75,169810.0,2403.0,2444.0,583.0,598.25,75.0,13.75,False,13.75,2.0,60.0,6.875,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-12,Desabastecimiento
C013,110102,2025-12-31,19,2.85,24.0,3.6,276320.0,0.0,0.0,0.0,374.0,368.0,53.55,55.001999999999995,25.0,1.3980000000000032,False,1.3980000000000032,0.2,6.0,6.990000000000016,2025-12-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,HOLANDES TAJADO LOMA DORADA 150G,0.15,UND,HOLANDES,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C016,190101,2025-12-31,16,6.4,0.0,0.0,0.0,0.0,0.0,0.0,87.0,92.0,34.8,36.800000000000004,11.0,4.3999999999999915,False,4.3999999999999915,0.6266666666666667,18.8,7.021276595744667,2025-12-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C013,110107,2025-12-31,12,1.5,19.0,2.375,192090.0,0.0,0.0,0.0,289.0,282.0,34.5,34.885,19.0,1.115000000000002,False,1.115000000000002,0.15833333333333333,4.75,7.042105263157907,2025-12-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,CAMEMBERT CUÑA MONTE AZUL 125G,0.125,UND,CAMEMBERT,QUESOS BLANDOS,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C016,110103,2025-12-31,45,6.75,0.0,0.0,0.0,4.0,0.6,58850.0,1281.0,1267.0,187.05,189.168,59.0,4.632000000000005,False,4.632000000000005,0.645,19.35,7.181395348837217,2025-12-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,MUENSTER TAJADO LOMA DORADA 150G,0.15,UND,MUENSTER,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C005,130104,2025-12-31,185,27.75,0.0,0.0,0.0,17.0,2.55,91340.0,6258.0,6341.0,938.7,946.2,102.0,20.25,False,20.25,2.6850000000000005,80.55000000000001,7.541899441340781,2025-12-01,PrecioListo,Hard Discount,Antioquia,Valle de Aburrá,Medellín,Discounter,PIZZA MIX RALLADO DELILAT 150G,0.15,UND,MIXTO QUESOS,RALLADOS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-12,Desabastecimiento
C003,110101,2025-12-31,51,7.65,0.0,0.0,0.0,5.0,0.75,71900.0,1534.0,1503.0,223.65,225.462,82.0,5.838000000000022,False,5.838000000000022,0.77,23.1,7.58181818181821,2025-12-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C014,120101,2025-12-31,115,28.75,0.0,0.0,0.0,12.0,3.0,120220.0,3329.0,3297.0,808.25,817.63,147.0,19.370000000000005,False,19.370000000000005,2.5,75.0,7.748000000000002,2025-12-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,MOZZARELLA TAJADA CAMPOCLARO 250G,0.25,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-12,Desabastecimiento
C014,190101,2025-12-31,23,9.2,0.0,0.0,0.0,0.0,0.0,0.0,109.0,119.0,43.6,46.4,13.0,6.399999999999999,False,6.399999999999999,0.8,24.0,7.999999999999998,2025-12-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C017,190102,2025-12-31,2,1.0,2.0,1.0,46250.0,1.0,0.5,32180.0,23.0,21.0,11.5,10.5,4.0,2.0,False,2.0,0.25,7.5,8.0,2025-12-01,RapiExpress,E-commerce,Centro,Bogotá y Sabana,Bogotá,Quick Commerce,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-12,Desabastecimiento
